The document id, The normalized weight of the word in the document
345.html, 0.259
368.html, 0.279
433.html, 0.020
434.html, 0.024
435.html, 0.024
352.html, 0.339
433.html, 0.015
434.html, 0.018
435.html, 0.018
437.html, 0.022
433.html, 0.061
433.html, 0.020
436.html, 0.031
437.html, 0.029
437.html, 0.086
022.html, 0.161
433.html, 0.010
434.html, 0.012
435.html, 0.012
436.html, 0.016
437.html, 0.014
356.html, 0.620
433.html, 0.061
002.html, 0.030
027.html, 0.259
043.html, 0.003
058.html, 0.031
066.html, 0.018
082.html, 0.082
106.html, 0.064
118.html, 0.010
133.html, 0.063
150.html, 0.165
156.html, 0.012
159.html, 0.417
172.html, 0.057
179.html, 0.020
189.html, 0.025
202.html, 0.055
238.html, 0.037
240.html, 0.010
242.html, 0.037
243.html, 0.018
244.html, 0.030
246.html, 0.017
249.html, 0.007
258.html, 0.043
266.html, 0.048
271.html, 0.068
272.html, 0.014
279.html, 0.008
282.html, 0.027
289.html, 0.040
290.html, 0.158
297.html, 0.051
301.html, 0.016
303.html, 0.007
304.html, 0.027
307.html, 0.007
308.html, 0.052
325.html, 0.013
331.html, 0.009
333.html, 0.057
339.html, 0.007
343.html, 0.009
349.html, 0.007
353.html, 0.004
355.html, 0.010
361.html, 0.007
369.html, 0.003
376.html, 0.003
378.html, 0.022
379.html, 0.034
380.html, 0.102
381.html, 0.148
382.html, 0.246
383.html, 0.088
384.html, 0.016
385.html, 0.047
387.html, 0.048
388.html, 0.096
389.html, 0.025
390.html, 0.067
392.html, 0.092
394.html, 0.118
395.html, 0.035
397.html, 0.098
408.html, 0.147
419.html, 0.026
426.html, 0.023
427.html, 0.136
428.html, 0.068
433.html, 0.002
434.html, 0.002
436.html, 0.001
434.html, 0.024
435.html, 0.024
437.html, 0.029
433.html, 0.061
434.html, 0.044
435.html, 0.015
436.html, 0.019
437.html, 0.069
041.html, 1.186
380.html, 0.921
385.html, 0.427
388.html, 0.248
433.html, 0.015
434.html, 0.018
435.html, 0.018
436.html, 0.023
436.html, 0.093
037.html, 0.075
043.html, 0.025
052.html, 0.166
066.html, 0.160
219.html, 0.278
281.html, 0.051
304.html, 0.031
339.html, 0.016
348.html, 0.032
349.html, 0.030
353.html, 0.020
360.html, 0.015
364.html, 0.024
380.html, 0.138
383.html, 0.036
385.html, 0.053
002.html, 0.039
016.html, 0.058
029.html, 0.118
043.html, 0.018
044.html, 0.039
062.html, 0.086
137.html, 0.037
150.html, 0.030
152.html, 0.010
156.html, 0.046
161.html, 0.389
181.html, 0.031
189.html, 0.016
199.html, 0.121
209.html, 0.113
238.html, 0.048
258.html, 0.037
260.html, 0.028
267.html, 0.021
269.html, 0.013
272.html, 0.036
283.html, 0.021
289.html, 0.043
290.html, 0.025
295.html, 0.030
297.html, 0.260
298.html, 0.007
303.html, 0.038
304.html, 0.044
308.html, 0.053
311.html, 0.038
315.html, 0.041
323.html, 0.016
328.html, 0.019
331.html, 0.034
333.html, 0.032
344.html, 0.004
353.html, 0.011
372.html, 0.005
