The document id, The normalized weight of the word in the document
298.html, 0.016
299.html, 0.070
303.html, 0.063
304.html, 0.020
307.html, 0.022
323.html, 0.036
331.html, 0.026
333.html, 0.018
379.html, 0.289
380.html, 0.412
382.html, 0.900
383.html, 0.208
385.html, 0.034
390.html, 0.028
394.html, 0.043
396.html, 0.281
397.html, 0.031
284.html, 0.250
299.html, 0.175
303.html, 0.315
307.html, 0.215
310.html, 0.197
002.html, 0.104
027.html, 0.686
249.html, 0.074
315.html, 0.165
382.html, 0.097
383.html, 0.165
397.html, 0.112
219.html, 4.451
346.html, 0.228
433.html, 0.061
345.html, 0.259
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
435.html, 0.073
433.html, 0.061
434.html, 0.036
437.html, 0.043
152.html, 0.540
194.html, 7.564
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
342.html, 0.246
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
006.html, 2.286
014.html, 2.647
023.html, 2.515
031.html, 8.383
167.html, 0.838
433.html, 0.025
434.html, 0.029
435.html, 0.015
436.html, 0.009
437.html, 0.017
031.html, 7.621
434.html, 0.036
435.html, 0.037
435.html, 0.073
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
433.html, 0.020
434.html, 0.024
437.html, 0.029
433.html, 0.061
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
433.html, 0.074
434.html, 0.044
435.html, 0.059
436.html, 0.037
437.html, 0.086
434.html, 0.073
433.html, 0.015
434.html, 0.018
435.html, 0.018
436.html, 0.023
437.html, 0.086
433.html, 0.031
435.html, 0.037
437.html, 0.086
147.html, 0.187
433.html, 0.041
434.html, 0.036
435.html, 0.012
436.html, 0.016
437.html, 0.029
147.html, 1.120
435.html, 0.073
433.html, 0.061
433.html, 0.020
434.html, 0.024
435.html, 0.024
433.html, 0.061
144.html, 5.849
434.html, 0.073
043.html, 0.057
345.html, 0.037
433.html, 0.009
434.html, 0.010
435.html, 0.010
436.html, 0.013
437.html, 0.012
028.html, 1.623
036.html, 2.061
423.html, 1.393
029.html, 0.549
116.html, 10.060
067.html, 3.619
037.html, 0.597
078.html, 2.113
067.html, 0.362
178.html, 0.412
235.html, 0.111
335.html, 0.137
376.html, 0.049
433.html, 0.006
434.html, 0.007
435.html, 0.007
436.html, 0.009
437.html, 0.009
318.html, 1.655
339.html, 0.263
076.html, 1.000
179.html, 0.184
433.html, 0.015
434.html, 0.018
235.html, 3.324
332.html, 0.998
042.html, 4.140
042.html, 4.140
501.html, 1.803
043.html, 0.100
050.html, 0.721
123.html, 1.592
340.html, 0.065
301.html, 0.373
310.html, 0.328
339.html, 0.088
308.html, 0.747
308.html, 0.747
377.html, 0.253
363.html, 0.555
247.html, 0.517
339.html, 0.132
342.html, 0.246
041.html, 10.281
046.html, 8.314
159.html, 3.461
260.html, 0.131
268.html, 0.537
381.html, 0.209
007.html, 0.207
137.html, 0.457
298.html, 0.135
043.html, 0.100
384.html, 0.581
066.html, 1.280
098.html, 5.005
112.html, 3.445
098.html, 5.631
112.html, 3.445
066.html, 1.280
412.html, 0.579
414.html, 0.574
064.html, 0.645
279.html, 0.195
288.html, 1.172
360.html, 0.236
043.html, 1.205
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
327.html, 2.704
253.html, 3.224
315.html, 1.156
407.html, 0.190
410.html, 0.192
412.html, 0.193
414.html, 0.191
416.html, 0.191
418.html, 0.191
226.html, 3.840
152.html, 0.540
066.html, 0.098
078.html, 0.650
126.html, 0.430
181.html, 0.034
215.html, 0.213
248.html, 0.141
249.html, 0.040
286.html, 0.091
311.html, 0.163
323.html, 0.070
332.html, 0.154
339.html, 0.020
397.html, 0.060
188.html, 0.223
249.html, 0.032
259.html, 0.123
269.html, 0.045
279.html, 0.037
281.html, 0.051
282.html, 0.031
285.html, 0.095
298.html, 0.025
311.html, 0.132
315.html, 0.072
323.html, 0.113
330.html, 0.125
331.html, 0.040
332.html, 0.125
333.html, 0.028
278.html, 1.729
118.html, 0.352
315.html, 0.578
433.html, 0.031
437.html, 0.043
235.html, 0.085
276.html, 0.093
279.html, 0.090
281.html, 0.190
282.html, 0.038
286.html, 0.091
289.html, 0.074
311.html, 0.081
315.html, 0.089
326.html, 0.078
328.html, 0.082
331.html, 0.049
334.html, 0.094
002.html, 0.022
009.html, 0.027
043.html, 0.024
052.html, 0.081
066.html, 0.039
075.html, 0.229
118.html, 0.021
124.html, 0.068
137.html, 0.042
141.html, 0.056
152.html, 0.016
179.html, 0.223
189.html, 0.138
205.html, 0.130
210.html, 0.339
247.html, 0.031
299.html, 0.027
311.html, 0.032
316.html, 0.066
338.html, 0.007
339.html, 0.080
342.html, 0.007
351.html, 0.006
382.html, 0.021
383.html, 0.018
385.html, 0.026
386.html, 0.046
387.html, 0.052
388.html, 0.030
389.html, 0.192
390.html, 0.063
391.html, 0.079
393.html, 0.076
009.html, 0.062
017.html, 0.982
026.html, 0.284
034.html, 0.140
042.html, 0.286
043.html, 0.007
050.html, 0.199
058.html, 0.310
066.html, 0.221
074.html, 0.307
082.html, 0.203
091.html, 0.337
098.html, 0.518
105.html, 0.266
112.html, 0.594
119.html, 0.157
152.html, 0.019
156.html, 0.029
181.html, 0.015
220.html, 0.631
230.html, 0.184
249.html, 0.018
251.html, 0.056
289.html, 0.017
298.html, 0.014
301.html, 0.039
331.html, 0.044
332.html, 0.069
363.html, 0.010
019.html, 0.078
105.html, 0.148
118.html, 0.054
137.html, 0.053
181.html, 0.034
209.html, 0.243
303.html, 0.040
307.html, 0.041
339.html, 0.425
364.html, 0.030
376.html, 0.037
380.html, 0.113
391.html, 0.501
022.html, 0.483
502.html, 1.711
002.html, 0.091
043.html, 0.013
066.html, 0.080
137.html, 0.043
181.html, 0.027
246.html, 0.075
258.html, 0.064
267.html, 0.074
326.html, 0.064
333.html, 0.085
339.html, 0.016
363.html, 0.017
364.html, 0.012
376.html, 0.015
391.html, 0.081
495.html, 2.418
338.html, 0.022
339.html, 0.039
340.html, 0.039
342.html, 0.012
344.html, 0.013
345.html, 0.026
346.html, 0.023
348.html, 0.038
349.html, 0.048
351.html, 0.020
353.html, 0.031
359.html, 0.060
360.html, 0.012
361.html, 0.037
362.html, 0.015
364.html, 0.019
365.html, 0.011
368.html, 0.014
369.html, 0.024
375.html, 0.038
001.html, 0.051
029.html, 0.100
076.html, 0.045
223.html, 0.064
298.html, 0.018
301.html, 0.051
318.html, 0.075
339.html, 0.012
401.html, 0.053
403.html, 0.052
405.html, 0.052
407.html, 0.052
410.html, 0.052
412.html, 0.053
414.html, 0.052
416.html, 0.052
418.html, 0.052
421.html, 0.051
425.html, 0.051
435.html, 0.003
436.html, 0.004
437.html, 0.004
289.html, 0.483
043.html, 0.201
304.html, 0.494
328.html, 0.354
339.html, 0.175
446.html, 0.552
022.html, 0.965
022.html, 0.161
433.html, 0.020
434.html, 0.024
435.html, 0.037
436.html, 0.016
437.html, 0.029
258.html, 1.031
019.html, 0.254
445.html, 0.680
205.html, 2.140
034.html, 1.356
298.html, 0.135
304.html, 0.329
310.html, 0.328
009.html, 0.893
001.html, 0.094
182.html, 0.392
298.html, 0.135
300.html, 0.188
304.html, 0.658
310.html, 0.082
412.html, 0.097
414.html, 0.096
416.html, 0.095
418.html, 0.095
421.html, 0.094
425.html, 0.094
433.html, 0.020
435.html, 0.024
436.html, 0.031
433.html, 0.020
435.html, 0.024
437.html, 0.029
372.html, 0.271
425.html, 0.566
433.html, 0.020
435.html, 0.024
437.html, 0.029
433.html, 0.061
027.html, 1.867
359.html, 0.121
137.html, 0.686
043.html, 0.201
277.html, 0.535
279.html, 0.292
009.html, 0.298
304.html, 0.165
329.html, 0.550
074.html, 2.226
289.html, 0.483
009.html, 0.893
289.html, 0.483
302.html, 2.553
043.html, 0.067
082.html, 0.392
167.html, 2.794
002.html, 0.182
019.html, 0.127
181.html, 0.109
308.html, 0.374
011.html, 0.200
021.html, 1.075
101.html, 0.167
134.html, 1.849
140.html, 8.574
269.html, 0.181
291.html, 0.282
302.html, 0.319
007.html, 1.242
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
396.html, 2.340
301.html, 1.118
282.html, 0.246
286.html, 1.184
433.html, 0.061
436.html, 0.093
001.html, 0.102
407.html, 0.103
410.html, 0.105
412.html, 0.105
414.html, 0.104
416.html, 0.104
418.html, 0.104
421.html, 0.103
433.html, 0.006
434.html, 0.007
435.html, 0.007
022.html, 0.965
101.html, 0.667
118.html, 0.704
363.html, 0.040
433.html, 0.009
434.html, 0.010
435.html, 0.021
436.html, 0.013
469.html, 0.489
479.html, 0.464
298.html, 0.101
303.html, 0.394
307.html, 0.807
310.html, 0.984
338.html, 0.221
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
303.html, 1.050
207.html, 0.219
226.html, 0.213
298.html, 0.045
333.html, 0.050
383.html, 0.193
392.html, 0.092
393.html, 0.093
396.html, 0.260
397.html, 0.087
242.html, 0.667
345.html, 0.130
313.html, 0.570
324.html, 4.931
393.html, 0.278
007.html, 1.242
355.html, 0.247
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
303.html, 0.263
304.html, 0.494
309.html, 0.507
043.html, 0.100
152.html, 0.270
304.html, 0.099
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
144.html, 1.950
383.html, 0.193
390.html, 0.463
303.html, 2.100
005.html, 0.204
282.html, 0.164
284.html, 0.417
437.html, 0.086
232.html, 0.717
433.html, 0.020
435.html, 0.024
433.html, 0.061
437.html, 0.043
080.html, 36.252
080.html, 40.784
080.html, 18.126
080.html, 36.252
197.html, 0.769
287.html, 0.930
152.html, 0.540
002.html, 0.182
019.html, 0.127
027.html, 0.667
118.html, 0.176
027.html, 1.600
345.html, 0.259
029.html, 0.073
124.html, 0.150
137.html, 0.137
197.html, 0.103
235.html, 0.074
249.html, 0.069
259.html, 0.131
272.html, 0.067
282.html, 0.033
286.html, 0.079
329.html, 0.110
331.html, 0.043
334.html, 0.082
381.html, 0.042
445.html, 0.091
137.html, 0.229
196.html, 2.266
234.html, 0.244
043.html, 0.029
181.html, 0.062
233.html, 0.160
244.html, 0.154
260.html, 0.112
289.html, 0.069
333.html, 0.065
240.html, 0.233
445.html, 0.906
500.html, 1.004
437.html, 0.173
152.html, 0.540
436.html, 0.093
147.html, 1.120
433.html, 0.061
066.html, 1.280
147.html, 2.241
433.html, 0.061
433.html, 0.061
358.html, 0.258
181.html, 0.437
435.html, 0.073
435.html, 0.024
436.html, 0.093
437.html, 0.058
177.html, 0.461
181.html, 0.036
282.html, 0.041
285.html, 0.127
331.html, 0.053
387.html, 0.143
433.html, 0.020
434.html, 0.012
435.html, 0.006
436.html, 0.008
437.html, 0.014
497.html, 1.022
398.html, 0.197
401.html, 0.194
403.html, 0.191
405.html, 0.191
429.html, 0.194
431.html, 0.191
301.html, 1.118
497.html, 12.268
332.html, 1.996
088.html, 12.420
163.html, 1.118
204.html, 1.538
012.html, 0.817
049.html, 1.041
051.html, 0.449
121.html, 1.012
181.html, 0.031
189.html, 0.065
191.html, 1.382
237.html, 0.145
240.html, 0.050
244.html, 0.077
279.html, 0.042
333.html, 0.032
360.html, 0.017
391.html, 0.186
043.html, 0.029
121.html, 1.012
189.html, 0.130
284.html, 0.179
308.html, 0.107
351.html, 0.028
387.html, 0.244
308.html, 0.747
309.html, 0.253
121.html, 3.542
179.html, 1.475
179.html, 2.581
189.html, 0.454
152.html, 0.540
433.html, 0.061
433.html, 0.061
298.html, 0.270
310.html, 0.328
359.html, 0.081
105.html, 1.927
043.html, 0.067
058.html, 0.749
191.html, 19.346
435.html, 0.073
026.html, 0.825
433.html, 0.020
434.html, 0.036
435.html, 0.037
436.html, 0.031
437.html, 0.029
364.html, 0.194
433.html, 0.015
434.html, 0.018
435.html, 0.018
436.html, 0.023
433.html, 0.015
434.html, 0.018
435.html, 0.018
437.html, 0.022
433.html, 0.061
433.html, 0.015
434.html, 0.054
435.html, 0.018
436.html, 0.023
433.html, 0.061
433.html, 0.031
434.html, 0.036
123.html, 2.547
304.html, 0.099
315.html, 0.231
341.html, 0.053
500.html, 0.602
339.html, 0.132
433.html, 0.031
009.html, 0.298
123.html, 6.367
174.html, 1.004
019.html, 0.508
005.html, 0.613
247.html, 0.259
258.html, 0.258
269.html, 0.181
302.html, 0.638
298.html, 0.404
058.html, 1.123
247.html, 1.035
286.html, 1.184
341.html, 0.266
436.html, 0.093
340.html, 0.129
377.html, 0.633
333.html, 0.454
358.html, 0.258
333.html, 0.454
019.html, 0.677
345.html, 0.086
423.html, 0.464
349.html, 0.242
358.html, 0.129
022.html, 0.057
029.html, 0.065
030.html, 0.262
043.html, 0.024
086.html, 0.200
087.html, 0.342
101.html, 0.549
152.html, 0.032
163.html, 0.197
226.html, 0.452
244.html, 0.127
269.html, 0.043
292.html, 0.047
302.html, 0.451
349.html, 0.029
358.html, 0.015
393.html, 0.049
011.html, 1.597
043.html, 0.121
179.html, 0.148
189.html, 0.182
249.html, 0.104
280.html, 0.163
175.html, 1.306
181.html, 0.087
226.html, 0.384
292.html, 0.161
394.html, 0.213
043.html, 0.017
208.html, 0.274
237.html, 0.170
358.html, 0.022
387.html, 0.143
390.html, 0.058
395.html, 0.106
433.html, 0.005
434.html, 0.006
435.html, 0.006
436.html, 0.008
437.html, 0.007
335.html, 1.367
007.html, 0.020
009.html, 0.029
010.html, 0.056
022.html, 0.016
027.html, 0.009
031.html, 0.125
034.html, 0.022
043.html, 0.010
082.html, 0.019
101.html, 0.022
108.html, 0.172
137.html, 0.067
146.html, 0.017
159.html, 0.038
168.html, 0.062
179.html, 0.012
181.html, 0.007
207.html, 0.032
215.html, 0.091
234.html, 0.012
242.html, 0.022
244.html, 0.018
247.html, 0.034
253.html, 0.053
258.html, 0.017
269.html, 0.024
279.html, 0.019
280.html, 0.013
281.html, 0.013
282.html, 0.024
283.html, 0.019
286.html, 0.019
287.html, 0.015
291.html, 0.037
292.html, 0.026
298.html, 0.066
299.html, 0.072
300.html, 0.185
301.html, 0.055
303.html, 0.052
304.html, 0.016
305.html, 0.063
307.html, 0.009
309.html, 0.042
317.html, 0.069
318.html, 0.027
322.html, 0.036
331.html, 0.011
333.html, 0.015
334.html, 0.020
348.html, 0.004
370.html, 0.004
377.html, 0.004
381.html, 0.010
382.html, 0.022
386.html, 0.025
408.html, 0.029
427.html, 0.027
445.html, 0.022
446.html, 0.027
447.html, 0.049
043.html, 0.029
247.html, 0.148
267.html, 0.169
335.html, 0.195
348.html, 0.036
364.html, 0.055
384.html, 0.166
220.html, 2.286
233.html, 0.281
287.html, 0.232
364.html, 0.048
076.html, 1.000
076.html, 1.000
221.html, 2.994
007.html, 0.103
009.html, 0.149
043.html, 0.033
076.html, 0.167
240.html, 0.116
384.html, 0.387
042.html, 0.414
074.html, 0.445
189.html, 0.182
338.html, 0.044
348.html, 0.051
009.html, 0.074
019.html, 0.254
028.html, 0.811
035.html, 5.240
052.html, 0.222
118.html, 0.235
141.html, 0.155
197.html, 0.128
345.html, 0.022
346.html, 0.019
348.html, 0.021
361.html, 0.020
207.html, 1.973
018.html, 1.479
019.html, 0.203
118.html, 0.141
361.html, 0.049
392.html, 0.165
137.html, 0.686
260.html, 0.787
315.html, 1.156
091.html, 2.442
398.html, 0.394
429.html, 0.388
431.html, 0.383
019.html, 0.102
433.html, 0.012
434.html, 0.015
435.html, 0.015
437.html, 0.017
019.html, 0.508
363.html, 0.139
019.html, 0.508
304.html, 0.494
043.html, 0.201
361.html, 0.245
446.html, 1.655
007.html, 0.128
009.html, 0.062
011.html, 0.055
037.html, 0.041
040.html, 0.113
058.html, 0.077
101.html, 0.046
119.html, 0.039
122.html, 0.170
137.html, 0.308
139.html, 0.112
145.html, 0.137
165.html, 0.723
184.html, 0.127
188.html, 0.369
198.html, 0.373
208.html, 0.113
211.html, 0.289
223.html, 0.049
228.html, 0.271
301.html, 0.039
309.html, 0.017
311.html, 0.036
338.html, 0.008
351.html, 0.020
358.html, 0.009
363.html, 0.010
383.html, 0.040
384.html, 0.040
435.html, 0.073
488.html, 251.500
189.html, 0.908
363.html, 0.278
034.html, 2.712
308.html, 1.495
279.html, 0.292
287.html, 0.465
310.html, 0.984
447.html, 2.976
398.html, 0.295
401.html, 0.290
429.html, 0.291
431.html, 0.287
303.html, 0.525
197.html, 1.538
019.html, 0.254
298.html, 0.202
315.html, 1.156
118.html, 0.704
433.html, 0.020
434.html, 0.024
435.html, 0.024
433.html, 0.061
005.html, 0.102
433.html, 0.010
434.html, 0.012
435.html, 0.012
436.html, 0.016
437.html, 0.014
433.html, 0.061
005.html, 4.294
433.html, 0.037
434.html, 0.015
435.html, 0.029
436.html, 0.019
437.html, 0.052
339.html, 0.263
007.html, 0.621
435.html, 0.073
028.html, 2.434
036.html, 2.061
001.html, 0.125
407.html, 0.126
410.html, 0.128
412.html, 0.129
414.html, 0.128
416.html, 0.127
418.html, 0.127
421.html, 0.125
425.html, 0.126
377.html, 0.253
147.html, 1.120
197.html, 1.538
001.html, 0.087
398.html, 0.091
401.html, 0.089
403.html, 0.088
405.html, 0.088
407.html, 0.088
410.html, 0.089
412.html, 0.089
414.html, 0.088
416.html, 0.088
418.html, 0.088
421.html, 0.087
425.html, 0.087
019.html, 0.085
027.html, 0.089
096.html, 0.864
359.html, 0.040
390.html, 0.116
501.html, 0.300
423.html, 1.393
007.html, 0.621
043.html, 0.201
364.html, 0.097
390.html, 0.694
007.html, 0.039
040.html, 1.233
056.html, 1.310
064.html, 1.088
067.html, 0.679
072.html, 4.716
168.html, 0.469
178.html, 0.258
188.html, 0.223
198.html, 0.338
205.html, 0.401
208.html, 0.205
215.html, 0.345
218.html, 0.398
228.html, 0.491
433.html, 0.004
080.html, 4.532
433.html, 0.031
080.html, 45.315
080.html, 13.595
080.html, 40.784
308.html, 0.747
359.html, 0.121
308.html, 0.747
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.037
437.html, 0.017
435.html, 0.073
433.html, 0.031
435.html, 0.037
286.html, 1.184
435.html, 0.024
436.html, 0.031
437.html, 0.029
434.html, 0.018
435.html, 0.018
436.html, 0.023
437.html, 0.022
318.html, 1.655
137.html, 0.686
286.html, 0.592
019.html, 0.254
137.html, 16.469
397.html, 0.783
383.html, 0.578
384.html, 0.581
345.html, 0.259
346.html, 0.228
376.html, 0.243
075.html, 0.756
144.html, 1.170
146.html, 1.052
372.html, 0.054
446.html, 0.331
437.html, 0.086
361.html, 0.978
099.html, 2.858
118.html, 0.088
230.html, 0.333
260.html, 0.098
267.html, 0.148
307.html, 0.067
382.html, 0.085
383.html, 0.072
435.html, 0.037
437.html, 0.043
260.html, 4.723
349.html, 0.485
043.html, 0.201
434.html, 0.073
433.html, 0.015
435.html, 0.018
436.html, 0.023
437.html, 0.022
019.html, 0.022
029.html, 0.023
040.html, 0.035
043.html, 0.021
046.html, 0.088
078.html, 0.180
112.html, 0.073
118.html, 0.030
141.html, 0.039
144.html, 0.124
145.html, 0.169
146.html, 0.022
166.html, 0.142
178.html, 0.088
181.html, 0.009
226.html, 0.041
234.html, 0.031
242.html, 0.028
246.html, 0.026
251.html, 0.035
259.html, 0.042
260.html, 0.017
261.html, 0.063
266.html, 0.049
269.html, 0.031
273.html, 0.042
282.html, 0.010
289.html, 0.010
296.html, 0.068
300.html, 0.048
304.html, 0.032
308.html, 0.016
309.html, 0.011
333.html, 0.010
342.html, 0.005
348.html, 0.005
358.html, 0.005
361.html, 0.010
363.html, 0.018
364.html, 0.004
369.html, 0.010
370.html, 0.005
377.html, 0.005
387.html, 0.036
390.html, 0.030
423.html, 0.030
501.html, 0.038
029.html, 1.098
076.html, 1.000
195.html, 1.747
385.html, 0.854
390.html, 0.694
233.html, 1.123
064.html, 0.484
234.html, 0.183
242.html, 0.334
307.html, 0.134
457.html, 0.901
459.html, 0.450
461.html, 0.966
462.html, 0.423
464.html, 0.776
476.html, 0.284
484.html, 0.293
489.html, 1.215
492.html, 0.364
434.html, 0.024
435.html, 0.024
437.html, 0.029
361.html, 0.489
434.html, 0.024
435.html, 0.024
361.html, 0.245
434.html, 0.073
005.html, 0.088
181.html, 0.062
433.html, 0.018
434.html, 0.031
435.html, 0.042
436.html, 0.053
437.html, 0.049
462.html, 0.254
469.html, 1.141
487.html, 1.822
492.html, 1.093
498.html, 1.200
168.html, 0.313
226.html, 0.160
289.html, 0.080
335.html, 0.114
433.html, 0.015
434.html, 0.018
435.html, 0.012
436.html, 0.016
437.html, 0.014
456.html, 0.723
465.html, 0.958
466.html, 0.390
433.html, 0.061
367.html, 0.327
355.html, 0.247
457.html, 8.113
372.html, 0.136
373.html, 0.122
351.html, 0.197
373.html, 0.243
340.html, 0.259
355.html, 0.124
377.html, 0.127
034.html, 1.356
340.html, 0.259
194.html, 1.891
434.html, 0.036
433.html, 0.061
435.html, 0.037
437.html, 0.043
026.html, 0.330
043.html, 0.080
105.html, 0.385
307.html, 0.108
445.html, 0.272
043.html, 0.040
242.html, 0.267
252.html, 0.210
298.html, 0.081
307.html, 0.108
043.html, 0.201
043.html, 0.201
384.html, 1.162
007.html, 0.310
089.html, 13.099
019.html, 0.018
024.html, 0.449
028.html, 0.058
031.html, 0.272
080.html, 1.618
103.html, 0.206
137.html, 0.025
156.html, 0.030
179.html, 0.053
252.html, 0.225
309.html, 0.018
339.html, 0.009
342.html, 0.009
344.html, 0.009
346.html, 0.008
353.html, 0.011
355.html, 0.009
362.html, 0.011
363.html, 0.010
364.html, 0.007
365.html, 0.008
377.html, 0.018
379.html, 0.043
380.html, 0.026
381.html, 0.045
389.html, 0.065
390.html, 0.025
393.html, 0.030
007.html, 0.096
029.html, 0.591
036.html, 0.317
070.html, 0.263
106.html, 0.355
137.html, 0.211
178.html, 0.317
185.html, 0.379
218.html, 0.490
263.html, 0.217
372.html, 0.021
387.html, 0.132
445.html, 0.105
029.html, 3.295
052.html, 2.661
074.html, 1.113
345.html, 0.130
007.html, 0.138
029.html, 0.122
068.html, 0.755
074.html, 0.247
137.html, 0.076
178.html, 0.458
196.html, 2.266
359.html, 0.027
388.html, 0.110
011.html, 0.456
040.html, 0.235
101.html, 0.381
137.html, 0.490
167.html, 1.198
381.html, 0.090
495.html, 1.842
024.html, 0.273
043.html, 0.009
059.html, 0.210
156.html, 0.037
179.html, 0.016
181.html, 0.019
189.html, 0.020
197.html, 0.033
336.html, 0.024
337.html, 0.010
338.html, 0.010
339.html, 0.006
341.html, 0.006
342.html, 0.016
343.html, 0.007
344.html, 0.011
345.html, 0.006
346.html, 0.025
347.html, 0.006
348.html, 0.006
349.html, 0.011
350.html, 0.036
352.html, 0.007
353.html, 0.014
355.html, 0.016
356.html, 0.013
357.html, 0.013
358.html, 0.011
361.html, 0.005
362.html, 0.007
363.html, 0.006
364.html, 0.004
366.html, 0.029
367.html, 0.007
368.html, 0.006
369.html, 0.005
370.html, 0.005
372.html, 0.012
375.html, 0.011
381.html, 0.055
383.html, 0.050
389.html, 0.079
390.html, 0.015
393.html, 0.018
397.html, 0.017
445.html, 0.030
355.html, 0.247
355.html, 0.247
181.html, 0.437
064.html, 0.149
179.html, 0.057
339.html, 0.040
342.html, 0.019
343.html, 0.050
349.html, 0.037
361.html, 0.056
364.html, 0.015
365.html, 0.018
375.html, 0.039
381.html, 0.048
383.html, 0.044
386.html, 0.118
376.html, 0.243
026.html, 0.825
181.html, 0.437
007.html, 0.052
019.html, 0.042
103.html, 0.482
150.html, 0.141
179.html, 0.061
181.html, 0.036
222.html, 0.099
331.html, 0.053
355.html, 0.021
381.html, 0.105
387.html, 0.143
390.html, 0.058
433.html, 0.020
434.html, 0.024
435.html, 0.024
436.html, 0.093
470.html, 3.869
498.html, 0.600
462.html, 0.380
468.html, 1.245
459.html, 0.674
461.html, 0.621
462.html, 0.380
481.html, 5.030
472.html, 10.702
433.html, 0.061
362.html, 0.310
435.html, 0.037
436.html, 0.047
222.html, 3.551
434.html, 0.073
437.html, 0.043
364.html, 0.194
366.html, 1.313
434.html, 0.073
339.html, 0.105
341.html, 0.053
344.html, 0.050
364.html, 0.039
370.html, 0.045
346.html, 0.114
361.html, 0.122
351.html, 0.197
351.html, 0.197
360.html, 0.236
342.html, 0.246
338.html, 0.221
342.html, 0.123
352.html, 0.169
347.html, 0.276
341.html, 0.266
338.html, 0.032
339.html, 0.038
341.html, 0.038
342.html, 0.035
352.html, 0.097
360.html, 0.034
375.html, 0.073
338.html, 0.111
368.html, 0.140
365.html, 0.076
367.html, 0.109
368.html, 0.093
347.html, 0.552
346.html, 0.228
352.html, 0.339
339.html, 0.066
340.html, 0.065
348.html, 0.064
357.html, 0.145
344.html, 0.125
362.html, 0.155
337.html, 0.042
338.html, 0.020
339.html, 0.048
341.html, 0.073
344.html, 0.023
350.html, 0.151
356.html, 0.056
363.html, 0.025
364.html, 0.018
367.html, 0.030
370.html, 0.020
356.html, 0.620
337.html, 0.019
338.html, 0.018
340.html, 0.011
341.html, 0.011
342.html, 0.010
344.html, 0.010
345.html, 0.011
347.html, 0.011
348.html, 0.011
349.html, 0.020
352.html, 0.014
355.html, 0.010
357.html, 0.024
358.html, 0.011
359.html, 0.020
360.html, 0.010
362.html, 0.026
364.html, 0.008
365.html, 0.010
367.html, 0.014
368.html, 0.012
369.html, 0.070
370.html, 0.009
372.html, 0.023
371.html, 0.312
373.html, 0.243
354.html, 0.255
398.html, 0.197
401.html, 0.194
403.html, 0.191
405.html, 0.191
429.html, 0.194
431.html, 0.191
373.html, 0.243
327.html, 2.704
365.html, 0.229
001.html, 0.225
416.html, 0.229
418.html, 0.229
421.html, 0.226
425.html, 0.227
433.html, 0.092
435.html, 0.037
433.html, 0.135
434.html, 0.058
435.html, 0.073
436.html, 0.131
437.html, 0.069
298.html, 0.404
292.html, 0.404
309.html, 0.253
433.html, 0.025
434.html, 0.044
435.html, 0.029
436.html, 0.019
437.html, 0.017
027.html, 0.107
044.html, 0.439
118.html, 0.141
207.html, 0.395
353.html, 0.063
361.html, 0.122
423.html, 0.697
304.html, 0.494
118.html, 0.141
152.html, 0.108
335.html, 0.273
351.html, 0.039
361.html, 0.049
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
501.html, 0.361
307.html, 0.538
001.html, 0.188
412.html, 0.193
414.html, 0.191
416.html, 0.191
418.html, 0.191
421.html, 0.188
043.html, 0.086
240.html, 0.100
433.html, 0.009
434.html, 0.010
435.html, 0.010
436.html, 0.013
437.html, 0.012
050.html, 2.883
298.html, 0.404
382.html, 0.341
434.html, 0.036
047.html, 3.754
329.html, 3.298
022.html, 0.241
433.html, 0.015
436.html, 0.023
437.html, 0.022
152.html, 0.540
494.html, 14.794
043.html, 0.045
115.html, 0.470
168.html, 0.417
222.html, 0.132
242.html, 0.148
291.html, 0.501
340.html, 0.029
359.html, 0.054
375.html, 0.028
494.html, 7.397
371.html, 0.312
433.html, 0.031
435.html, 0.018
436.html, 0.047
437.html, 0.022
357.html, 0.581
343.html, 0.322
434.html, 0.036
435.html, 0.037
043.html, 0.201
377.html, 0.506
433.html, 0.031
435.html, 0.018
436.html, 0.023
437.html, 0.022
002.html, 0.025
007.html, 0.032
016.html, 0.055
022.html, 0.016
029.html, 0.074
043.html, 0.010
062.html, 0.082
074.html, 0.038
076.html, 0.051
078.html, 0.072
099.html, 0.065
105.html, 0.033
122.html, 0.084
131.html, 0.112
137.html, 0.093
